alarm_id,dataset_vehicle_code,unit_id,event_type,period_index,period_type,period_duration,track_point_count
395a269d-0a57-4a4a-857c-14a7d759b99b,T266AK977,3e8e062e-eff2-4e11-bc5b-03f4e15d167b,SpeedLimitViolation,2,3,00:14:50,1
439e3dfb-d41c-476f-a05d-5f062783d2f9,S737CE198,007ecbc2-deb0-43cc-ba38-fcbc7496a71d,CollisionWarning,0,1,00:30:06,144
4e86f67f-340f-4db7-9972-b8e5646a9668,S737CE198,007ecbc2-deb0-43cc-ba38-fcbc7496a71d,DangerousDistance,0,1,00:22:01,146
4e86f67f-340f-4db7-9972-b8e5646a9668,S737CE198,007ecbc2-deb0-43cc-ba38-fcbc7496a71d,DangerousDistance,1,2,00:08:04,2
56afc372-b79a-45b5-9207-1b8dd08e5b81,T266AK977,3e8e062e-eff2-4e11-bc5b-03f4e15d167b,NoDriver,0,1,00:26:56,663
56afc372-b79a-45b5-9207-1b8dd08e5b81,T266AK977,3e8e062e-eff2-4e11-bc5b-03f4e15d167b,NoDriver,1,2,00:00:41,2
56afc372-b79a-45b5-9207-1b8dd08e5b81,T266AK977,3e8e062e-eff2-4e11-bc5b-03f4e15d167b,NoDriver,2,3,00:04:05,1
69050c45-57a5-4b8c-be5a-54454372e1e3,V224BB125,35465f3f-e01b-4f1b-a750-39a40af5bdff,PedestrianWarning,0,1,00:16:54,61
69050c45-57a5-4b8c-be5a-54454372e1e3,V224BB125,35465f3f-e01b-4f1b-a750-39a40af5bdff,PedestrianWarning,1,2,00:10:41,2
69050c45-57a5-4b8c-be5a-54454372e1e3,V224BB125,35465f3f-e01b-4f1b-a750-39a40af5bdff,PedestrianWarning,2,1,00:02:30,15
6f4471aa-fd1b-4329-874b-461f03900242,M482AT156,8259025c-3675-42b9-bc8d-8ae1004da285,Smoking,0,1,00:30:16,55
6f7ba1fa-dbe7-4096-bb1d-1b01bf7b5eb0,T266AK977,3e8e062e-eff2-4e11-bc5b-03f4e15d167b,CollisionWarning,0,1,00:30:13,380
7b8f3a75-9fe0-4b2b-a374-bc74e30f50c3,A079AM250,879edff3-be37-478e-a665-8c674a8661b4,SeatBelt,0,3,00:19:10,1
7b8f3a75-9fe0-4b2b-a374-bc74e30f50c3,A079AM250,879edff3-be37-478e-a665-8c674a8661b4,SeatBelt,1,2,00:00:15,2
7b8f3a75-9fe0-4b2b-a374-bc74e30f50c3,A079AM250,879edff3-be37-478e-a665-8c674a8661b4,SeatBelt,2,1,00:01:15,19
7b8f3a75-9fe0-4b2b-a374-bc74e30f50c3,A079AM250,879edff3-be37-478e-a665-8c674a8661b4,SeatBelt,3,2,00:10:37,2
7dc1110a-8f27-4cac-9d68-b6b602f346ca,T780RN198,0cfa33e2-7331-49d2-8ed6-fe5b58ba699c,Distraction,0,3,00:15:12,1
7dc1110a-8f27-4cac-9d68-b6b602f346ca,T780RN198,0cfa33e2-7331-49d2-8ed6-fe5b58ba699c,Distraction,1,1,00:14:56,63
812df409-161d-4c62-a07b-109361709897,S737CE198,007ecbc2-deb0-43cc-ba38-fcbc7496a71d,SharpLeftTurn,0,1,00:24:10,153
812df409-161d-4c62-a07b-109361709897,S737CE198,007ecbc2-deb0-43cc-ba38-fcbc7496a71d,SharpLeftTurn,1,2,00:06:01,2
9cf96b29-9309-4bf4-9c4f-fdf847e196f6,T780RN198,0cfa33e2-7331-49d2-8ed6-fe5b58ba699c,SharpAcceleration,0,3,00:15:52,1
